cui	term_type	omim_id
C0751434	PHENO_ET	612349
C0751434	ACR	261600
C1621958	ACR	137800
C1621958	ET	137800
C0221023	ETAL	162800
C0221023	PT	162800
C0221023	PHENO	130130
C0476089	PT	608089
C0476089	PHENO_ET	604395
C0476089	PHENO	604395
C0476089	PHENO_ET	604933
C0476089	PHENO	601728
C0272375	PT	613118
C0272375	ACR	613118
C0272375	ETAL	613118
C0272375	PHENO	107300
C0024440	ACR	153880
C0024440	ETAL	153880
C0024440	PT	153880
C0687720	ACR	125700
C0687720	ETAL	125700
C0687720	PT	125700
C0687720	PHENO	192340
C0687720	PT	304900
C0020479	PHENO_ET	107741
C0020479	ET	107741
C0020479	PHENO	107741
C1283620	ACR	222900
C1283620	ETAL	222900
C1283620	PT	222900
C1283620	PHENO	609845
C0010691	ETAL	220100
C0010691	ACR	220100
C0010691	PT	220100
C0010691	PHENO	604144
C0010691	PHENO	104614
C1274789	ET	217090
C0032463	ETAL	263300
C0032463	PT	263300
C0032463	ACR	263300
C0553580	ACR	612219
C0553580	PT	612219
C0268575	ETAL	243500
C0268575	PT	243500
C0268575	PHENO	607036
C0268575	ACR	243500
C1134719	PHENO	603615
C0039483	ETAL	187360
C0039483	ACR	187360
C0031069	PT	249100
C0031069	PHENO	608107
C0031069	ETAL	249100
C0031069	ACR	249100
C0007959	ETAL	118200
C0149911	ACR	168470
C0149911	ET	168470
C0206141	ACR	607685
C0206141	PT	607685
C0268120	PT	614723
C0268120	PHENO	102600
C0268120	ETAL	614723
C0268120	ACR	614723
C0033845	PT	243200
C0033845	ETAL	243200
C0751122	ETAL	607208
C0751122	PHENO	182389
C0751122	ACR	607208
C0751122	PT	607208
C0040015	ACR	273800
C0040015	ETAL	273800
C0040015	PT	273800
C0040015	PHENO	607759
C0040015	PHENO	173470
C0428908	PHENO_ET	600163
C0268595	ETAL	231670
C0268595	PT	231670
C0268595	PHENO	608801
C0238463	ACR	188550
C0238463	ETAL	188550
C0238463	PHENO	600635
C0238463	PT	188550
C0023434	ACR	151400
C0023434	ETAL	151400
C0023434	PT	151400
C0002395	ACR	104300
C0002395	PT	104300
C0002395	PHENO	516000
C0005586	ETAL	611535
C0005586	ACR	611535
C0162309	ETAL	300100
C0162309	PT	300100
C0162309	PHENO	300371
C0162309	ACR	300100
C0028756	PHENO_ET	602044
C0028756	PHENO	601487
C0002880	PT	205700
C0013080	PT	190685
C0013080	ETAL	190685
C0020625	ET	613508
C0265962	ETAL	256500
C0265962	ACR	256500
C0265962	PT	256500
C0265962	PHENO	605010
C0043208	ACR	278000
C0043208	ETAL	278000
C0043208	PT	278000
C0043208	ET	278000
C0043208	PHENO	613497
C0019829	ACR	236000
C0019829	ETAL	236000
C0019829	PHENO	613169
C0019829	PT	236000
C0024591	ETAL	145600
C0024591	PT	145600
C0024591	PHENO	180901
C0024591	PHENO_ET	180901
C0024591	ACR	145600
C0023487	PT	612376
C0023487	ACR	612376
C0023487	ETAL	612376
C0221036	PHENO	607059
C0221036	PT	201100
C0221036	ACR	201100
C0020758	ACR	242300
C0020758	ETAL	242300
C0020758	PT	242300
C0020758	PHENO	190195
C0409818	ACR	607115
C0409818	ETAL	607115
C0409818	PT	607115
C0409818	PHENO	606416
C0085159	ACR	608516
C0085159	ET	608516
C0948008	PT	601367
C0677607	ETAL	140300
C0677607	PT	140300
C0751753	ETAL	237300
C0751753	PHENO	608307
C0024141	ACR	152700
C0024141	PT	152700
C0011860	PT	125853
C0011860	PHENO	138160
C0011860	PHENO_ET	600509
C0011860	PHENO	147670
C0011860	PHENO	189907
C0011860	PHENO	604641
C0011860	PHENO	167413
C0011860	PHENO	164731
C0011860	ETAL	125853
C0011860	PHENO	138033
C0011860	PHENO	601724
C0011860	PHENO	138430
C0011860	PHENO	147545
C0011860	ACR	125853
C0011860	PHENO	600281
C0004352	PT	209850
C0004352	ETAL	209850
C0026267	ETAL	157700
C0026267	PT	157700
C0026267	ETAL	604715
C0026267	ACR	157700
C0002986	ETAL	301500
C0002986	PT	301500
C0002986	PHENO_ET	300644
C0002986	PHENO	300644
C0024305	PHENO_ET	170280
C0024305	PT	605027
C0024305	ACR	605027
C0024305	PHENO	191170
C0024305	ETAL	605027
C0039685	PT	187500
C0039685	PHENO	602054
C0039685	PHENO_ET	601656
C0039685	PHENO	601656
C0039685	PHENO	600576
C0039685	PHENO	603693
C0039685	PHENO_ET	600576
C0039685	PHENO	601920
C0039685	PHENO	600584
C0039685	PHENO	602880
C0039685	ACR	187500
C0036341	PT	181500
C0036341	ACR	181500
C0040517	PT	137580
C0040517	PHENO	142704
C0040517	ACR	137580
C0040517	ETAL	137580
C0040517	PHENO	609678
