hgnc_id	symbol	status	entrez_id
2428	YBX3	Approved	8531.0
2429	YBX3P1	Approved	440359.0
27158	YDJC	Approved	150223.0
25489	YEATS2	Approved	55689.0
41101	YEATS2-AS1	Approved	100874113.0
24859	YEATS4	Approved	8089.0
12841	YES1	Approved	7525.0
12842	YES1P1	Approved	7526.0
16688	YIF1A	Approved	10897.0
30511	YIF1B	Approved	90522.0
25231	YIPF1	Approved	54432.0
28476	YIPF2	Approved	78992.0
21023	YIPF3	Approved	25844.0
28145	YIPF4	Approved	84272.0
24877	YIPF5	Approved	81555.0
28304	YIPF6	Approved	286451.0
26825	YIPF7	Approved	285525.0
24785	YJEFN3	Approved	374887.0
16959	YKT6	Approved	10652.0
17798	YLPM1	Approved	56252.0
12843	YME1L1	Approved	10730.0
12844	YME1L1P1	Approved	23749.0
25035	YOD1	Approved	55432.0
12845	YPEL1	Approved	29799.0
18326	YPEL2	Approved	388403.0
18327	YPEL3	Approved	83719.0
18328	YPEL4	Approved	219539.0
18329	YPEL5	Approved	51646.0
50555	YPEL5P1	Approved	100130996.0
50556	YPEL5P2	Approved	100132562.0
50557	YPEL5P3	Approved	100653396.0
28905	YRDC	Approved	79693.0
39919	YRDCP1	Approved	100420501.0
39920	YRDCP2	Approved	100128237.0
39921	YRDCP3	Approved	100861429.0
30626	YTHDC1	Approved	91746.0
24721	YTHDC2	Approved	64848.0
15867	YTHDF1	Approved	54915.0
31681	YTHDF1P1	Approved	402220.0
31675	YTHDF2	Approved	51441.0
19865	YTHDF2P1	Approved	400209.0
26465	YTHDF3	Approved	253943.0
48728	YTHDF3-AS1	Approved	101410533.0
12849	YWHAB	Approved	7529.0
50294	YWHABP1	Approved	647051.0
50295	YWHABP2	Approved	100422666.0
12851	YWHAE	Approved	7531.0
49442	YWHAEP1	Approved	649395.0
49429	YWHAEP2	Approved	106481688.0
49430	YWHAEP3	Approved	106480273.0
49440	YWHAEP4	Approved	106481785.0
49439	YWHAEP5	Approved	440917.0
49435	YWHAEP6	Approved	
49437	YWHAEP7	Approved	284100.0
12852	YWHAG	Approved	7532.0
12853	YWHAH	Approved	7533.0
12854	YWHAQ	Approved	10971.0
19937	YWHAQP1	Approved	319121.0
23211	YWHAQP2	Approved	246716.0
37682	YWHAQP3	Approved	100128944.0
37683	YWHAQP4	Approved	646954.0
37684	YWHAQP5	Approved	100130391.0
37685	YWHAQP6	Approved	101290504.0
37686	YWHAQP7	Approved	100422674.0
37687	YWHAQP8	Approved	392510.0
37688	YWHAQP9	Approved	101290508.0
12855	YWHAZ	Approved	7534.0
19938	YWHAZP1	Approved	319120.0
31078	YWHAZP2	Approved	150554.0
31101	YWHAZP3	Approved	143371.0
30851	YWHAZP4	Approved	246737.0
30564	YWHAZP5	Approved	86123.0
30849	YWHAZP6	Approved	158383.0
39028	YWHAZP7	Approved	100130640.0
39029	YWHAZP8	Approved	646016.0
39030	YWHAZP9	Approved	441609.0
12856	YY1	Approved	7528.0
30935	YY1AP1	Approved	55249.0
45094	YY1P1	Approved	100419963.0
45095	YY1P2	Approved	647012.0
31684	YY2	Approved	404281.0
29504	ZACN	Approved	353174.0
51915	ZACNP1	Approved	101929026.0
28697	ZADH2	Approved	284273.0
12857	ZAN	Approved	7455.0
12858	ZAP70	Approved	7535.0
20436	ZAR1	Approved	326340.0
37116	ZAR1L	Approved	646799.0
26245	ZBBX	Approved	79740.0
447	ZBED1	Approved	9189.0
44004	ZBED1P1	Approved	645145.0
20710	ZBED2	Approved	79413.0
20711	ZBED3	Approved	84327.0
44188	ZBED3-AS1	Approved	728723.0
20721	ZBED4	Approved	9889.0
30803	ZBED5	Approved	58486.0
48646	ZBED5-AS1	Approved	729013.0
33273	ZBED6	Approved	100381270.0
21720	ZBED6CL	Approved	113763.0
30804	ZBED8	Approved	63920.0
13851	ZBED9	Approved	114821.0
16176	ZBP1	Approved	81030.0
20259	ZBTB1	Approved	22890.0
20868	ZBTB2	Approved	57621.0
22918	ZBTB3	Approved	79842.0
23847	ZBTB4	Approved	57659.0
23836	ZBTB5	Approved	9925.0
16764	ZBTB6	Approved	10773.0
18078	ZBTB7A	Approved	51341.0
18668	ZBTB7B	Approved	51043.0
31700	ZBTB7C	Approved	201501.0
24172	ZBTB8A	Approved	653121.0
37057	ZBTB8B	Approved	728116.0
24094	ZBTB8OS	Approved	339487.0
19043	ZBTB8OSP1	Approved	729566.0
30326	ZBTB8OSP2	Approved	729898.0
28323	ZBTB9	Approved	221504.0
30953	ZBTB10	Approved	65986.0
16740	ZBTB11	Approved	27107.0
48573	ZBTB11-AS1	Approved	100009676.0
19066	ZBTB12	Approved	221527.0
37702	ZBTB12BP	Approved	100499252.0
12860	ZBTB14	Approved	7541.0
12930	ZBTB16	Approved	7704.0
12936	ZBTB17	Approved	7709.0
13030	ZBTB18	Approved	10472.0
13503	ZBTB20	Approved	26137.0
40640	ZBTB20-AS1	Approved	100131117.0
42421	ZBTB20-AS2	Approved	100506673.0
42422	ZBTB20-AS3	Approved	104413890.0
42423	ZBTB20-AS4	Approved	100874131.0
52841	ZBTB20-AS5	Approved	101929754.0
13083	ZBTB21	Approved	49854.0
13085	ZBTB22	Approved	9278.0
21143	ZBTB24	Approved	9841.0
13112	ZBTB25	Approved	7597.0
23383	ZBTB26	Approved	57684.0
16763	ZBTB32	Approved	27033.0
16682	ZBTB33	Approved	10009.0
31446	ZBTB34	Approved	403341.0
28365	ZBTB37	Approved	84614.0
26636	ZBTB38	Approved	253461.0
29014	ZBTB39	Approved	9880.0
29045	ZBTB40	Approved	9923.0
41493	ZBTB40-IT1	Approved	100874345.0
24819	ZBTB41	Approved	360023.0
32550	ZBTB42	Approved	100128927.0
17908	ZBTB43	Approved	23099.0
25001	ZBTB44	Approved	29068.0
23715	ZBTB45	Approved	84878.0
49227	ZBTB45P1	Approved	645129.0
49228	ZBTB45P2	Approved	729248.0
16094	ZBTB46	Approved	140685.0
40753	ZBTB46-AS1	Approved	101928604.0
26955	ZBTB47	Approved	92999.0
4930	ZBTB48	Approved	3104.0
19883	ZBTB49	Approved	166793.0
24277	ZC2HC1A	Approved	51101.0
21174	ZC2HC1B	Approved	153918.0
20354	ZC2HC1C	Approved	79696.0
28972	ZC3H3	Approved	23144.0
17808	ZC3H4	Approved	23211.0
24762	ZC3H6	Approved	376940.0
30959	ZC3H7A	Approved	29066.0
30869	ZC3H7B	Approved	23264.0
30941	ZC3H8	Approved	84524.0
25893	ZC3H10	Approved	84872.0
29093	ZC3H11A	Approved	9877.0
25659	ZC3H11B	Approved	643136.0
26259	ZC3H12A	Approved	80149.0
17407	ZC3H12B	Approved	340554.0
29362	ZC3H12C	Approved	85463.0
21175	ZC3H12D	Approved	340152.0
20368	ZC3H13	Approved	23091.0
20509	ZC3H14	Approved	79882.0
29528	ZC3H15	Approved	55854.0
25091	ZC3H18	Approved	124245.0
33799	ZC3H18-AS1	Approved	400555.0
23721	ZC3HAV1	Approved	56829.0
22423	ZC3HAV1L	Approved	92092.0
29913	ZC3HC1	Approved	51530.0
24931	ZC4H2	Approved	55906.0
22916	ZCCHC2	Approved	54877.0
16230	ZCCHC3	Approved	85364.0
22917	ZCCHC4	Approved	29063.0
25817	ZCCHC6	Approved	79670.0
26209	ZCCHC7	Approved	84186.0
25265	ZCCHC8	Approved	55596.0
25424	ZCCHC9	Approved	84240.0
25954	ZCCHC10	Approved	54819.0
28981	ZCCHC11	Approved	23318.0
27273	ZCCHC12	Approved	170261.0
31749	ZCCHC13	Approved	389874.0
24134	ZCCHC14	Approved	23174.0
30246	ZCCHC17	Approved	51538.0
32459	ZCCHC18	Approved	644353.0
32963	ZCCHC23	Approved	645078.0
26911	ZCCHC24	Approved	219654.0
29620	ZCRB1	Approved	85437.0
23486	ZCWPW1	Approved	55063.0
23574	ZCWPW2	Approved	152098.0
29313	ZDBF2	Approved	57683.0
17916	ZDHHC1	Approved	29800.0
18469	ZDHHC2	Approved	51201.0
18470	ZDHHC3	Approved	51304.0
18471	ZDHHC4	Approved	55146.0
39443	ZDHHC4P1	Approved	100420920.0
18472	ZDHHC5	Approved	25921.0
19160	ZDHHC6	Approved	64429.0
18459	ZDHHC7	Approved	55625.0
18474	ZDHHC8	Approved	29801.0
26461	ZDHHC8P1	Approved	150244.0
18475	ZDHHC9	Approved	51114.0
19158	ZDHHC11	Approved	79844.0
32962	ZDHHC11B	Approved	653082.0
19159	ZDHHC12	Approved	84885.0
18413	ZDHHC13	Approved	54503.0
20341	ZDHHC14	Approved	79683.0
20342	ZDHHC15	Approved	158866.0
20714	ZDHHC16	Approved	84287.0
18412	ZDHHC17	Approved	23390.0
20712	ZDHHC18	Approved	84243.0
20713	ZDHHC19	Approved	131540.0
20749	ZDHHC20	Approved	253832.0
39899	ZDHHC20-AS1	Entry Withdrawn	
39900	ZDHHC20-IT1	Approved	100874367.0
33456	ZDHHC20P1	Approved	100048907.0
33457	ZDHHC20P2	Approved	100048908.0
39775	ZDHHC20P3	Approved	100874348.0
39776	ZDHHC20P4	Approved	730239.0
20750	ZDHHC21	Approved	340481.0
20106	ZDHHC22	Approved	283576.0
28654	ZDHHC23	Approved	254887.0
27387	ZDHHC24	Approved	254359.0
11642	ZEB1	Approved	6935.0
42354	ZEB1-AS1	Approved	220930.0
14881	ZEB2	Approved	9839.0
37149	ZEB2-AS1	Approved	100303491.0
33346	ZEB2P1	Approved	100420926.0
30960	ZER1	Approved	10444.0
25858	ZFAND1	Approved	79752.0
28073	ZFAND2A	Approved	90637.0
25206	ZFAND2B	Approved	130617.0
18019	ZFAND3	Approved	60685.0
23504	ZFAND4	Approved	93550.0
13008	ZFAND5	Approved	7763.0
30164	ZFAND6	Approved	54469.0
42978	ZFAND6P1	Approved	100631382.0
33101	ZFAS1	Approved	441951.0
19899	ZFAT	Approved	57623.0
33992	ZFAT-AS1	Approved	594840.0
28328	ZFC3H1	Approved	196441.0
20152	ZFHX2	Approved	85446.0
52658	ZFHX2-AS1	Approved	109729160.0
777	ZFHX3	Approved	463.0
30939	ZFHX4	Approved	79776.0
44165	ZFHX4-AS1	Approved	100192378.0
23328	ZFP1	Approved	162239.0
26138	ZFP2	Approved	80108.0
12861	ZFP3	Approved	124961.0
29312	ZFP14	Approved	57677.0
17801	ZFP28	Approved	140612.0
29555	ZFP30	Approved	22835.0
12862	ZFP36	Approved	7538.0
1107	ZFP36L1	Approved	677.0
1108	ZFP36L2	Approved	678.0
12863	ZFP37	Approved	7539.0
26786	ZFP41	Approved	286128.0
30949	ZFP42	Approved	132625.0
18791	ZFP57	Approved	346171.0
23241	ZFP62	Approved	643836.0
15940	ZFP64	Approved	55734.0
19820	ZFP64P1	Approved	319123.0
24708	ZFP69	Approved	339559.0
28053	ZFP69B	Approved	65243.0
